country,year,expenditure_usd,currency_basis,source
Afghanistan,1970,5373185.204078811,Constant (2024) US$,sipri
Afghanistan,1973,6230684.717095285,Constant (2024) US$,sipri
Afghanistan,1974,6056124.323065802,Constant (2024) US$,sipri
Afghanistan,1975,6357396.321057249,Constant (2024) US$,sipri
Afghanistan,1976,8108200.122922107,Constant (2024) US$,sipri
Afghanistan,1977,8553767.158090575,Constant (2024) US$,sipri
Albania,1989,387202070.79465544,Constant (2024) US$,sipri
Albania,1990,397922170.02946657,Constant (2024) US$,sipri
Albania,1991,281329760.6084541,Constant (2024) US$,sipri
Albania,1992,215104228.23459488,Constant (2024) US$,sipri
Albania,1993,196892303.46033418,Constant (2024) US$,sipri
Albania,1994,188204812.07927573,Constant (2024) US$,sipri
Albania,1995,175378458.635761,Constant (2024) US$,sipri
Albania,1996,157492337.17790225,Constant (2024) US$,sipri
Albania,1997,109964835.89254755,Constant (2024) US$,sipri
Albania,1998,103972182.31524847,Constant (2024) US$,sipri
Albania,1999,120411645.77964433,Constant (2024) US$,sipri
Albania,2000,133195890.98257166,Constant (2024) US$,sipri
Albania,2001,151336099.9371469,Constant (2024) US$,sipri
Albania,2002,154815654.35912508,Constant (2024) US$,sipri
Albania,2003,170726193.93449783,Constant (2024) US$,sipri
Albania,2004,185531555.53289947,Constant (2024) US$,sipri
Albania,2005,192205124.49331084,Constant (2024) US$,sipri
Albania,2006,236081492.7780013,Constant (2024) US$,sipri
Albania,2007,292093382.5598512,Constant (2024) US$,sipri
Albania,2008,344212137.9245613,Constant (2024) US$,sipri
Albania,2009,272434786.37227356,Constant (2024) US$,sipri
Albania,2010,292698129.1344916,Constant (2024) US$,sipri
Albania,2011,291097990.13658166,Constant (2024) US$,sipri
Albania,2012,284472233.30299485,Constant (2024) US$,sipri
Albania,2013,267861174.44335413,Constant (2024) US$,sipri
Albania,2014,260364467.66294587,Constant (2024) US$,sipri
Albania,2015,226792315.0302467,Constant (2024) US$,sipri
Albania,2016,218256074.56694975,Constant (2024) US$,sipri
Albania,2017,226507282.89594996,Constant (2024) US$,sipri
Albania,2018,245185178.67029086,Constant (2024) US$,sipri
Albania,2019,275822156.00209546,Constant (2024) US$,sipri
Albania,2020,267388095.10435316,Constant (2024) US$,sipri
Albania,2021,283198320.81694245,Constant (2024) US$,sipri
Albania,2022,297276296.5284817,Constant (2024) US$,sipri
Albania,2023,441907493.0642514,Constant (2024) US$,sipri
Albania,2024,535225686.3657517,Constant (2024) US$,sipri
Albania,2025,568103890.5167849,Constant (2024) US$,sipri
Algeria,1969,293398037.59652334,Constant (2024) US$,sipri
Algeria,1970,274109351.62703,Constant (2024) US$,sipri
Algeria,1971,268736007.8822292,Constant (2024) US$,sipri
Algeria,1972,260101581.7267077,Constant (2024) US$,sipri
Algeria,1973,269497178.9073659,Constant (2024) US$,sipri
Algeria,1974,516652947.4584985,Constant (2024) US$,sipri
Algeria,1975,575891785.9845253,Constant (2024) US$,sipri
Algeria,1976,802627192.4886329,Constant (2024) US$,sipri
Algeria,1977,700441517.9338832,Constant (2024) US$,sipri
Algeria,1978,758749042.6237365,Constant (2024) US$,sipri
Algeria,1979,750463090.0360868,Constant (2024) US$,sipri
Algeria,1980,853586954.2424953,Constant (2024) US$,sipri
Algeria,1981,758650915.6647834,Constant (2024) US$,sipri
Algeria,1982,875909554.8567903,Constant (2024) US$,sipri
Algeria,1983,880448235.2920233,Constant (2024) US$,sipri
